Code,Name,F-Score,Timing_Score,Combined_Score,Rating,Recommendation,Current_Price,Change_30D,Signals,ROA
139480,이마트,9,4.0,110.0,C (보통),관망 ⭐,74700,-3.24,"RSI 52.8 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (0.8배)",0.5
307950,현대오토에버,8,5.5,107.5,B (우수),매수 고려 ⭐⭐,188700,14.23,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 57.4 (중립 구간)",5.71
298040,효성중공업,8,4.5,102.5,C (보통),관망 ⭐,2254000,61.35,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), MACD > Signal & 양전환 ⭐⭐",7.14
327260,RF머트리얼즈,8,4.0,100.0,C (보통),관망 ⭐,18920,35.63,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 58.0 (중립 구간)",4.84
198080,캐프,8,4.0,100.0,C (보통),관망 ⭐,2350,2.84,"단기 정배열 (5>20), RSI 63.3 (상승 모멘텀), MACD > Signal & 양전환 ⭐⭐",8.6
195940,HK이노엔,7,6.0,100.0,B (우수),매수 고려 ⭐⭐,50500,5.21,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 57.0 (중립 구간)",3.26
229640,LS에코에너지,8,3.5,97.5,C (보통),관망 ⭐,40450,1.89,"20일선 > 60일선 (상승 추세), RSI 40.2 (중립 구간), MACD 0선 위 (상승 추세)",9.35
339770,교촌에프앤비,8,3.5,97.5,C (보통),관망 ⭐,4220,-6.74,"RSI 42.6 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 볼린저 중심선 위",7.07
322000,HD현대에너지솔루션,7,5.5,97.5,B (우수),매수 고려 ⭐⭐,60000,15.38,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 55.3 (중립 구간)",6.33
204610,티쓰리,8,3.5,97.5,C (보통),관망 ⭐,1977,-3.56,"RSI 50.9 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 볼린저 중심선 위",10.28
254120,자비스,7,5.5,97.5,B (우수),매수 고려 ⭐⭐,1459,5.57,"골든크로스 발생 (최근 5일 이내) ⭐, RSI 56.1 (중립 구간), MACD > Signal & 양전환 ⭐⭐",3.05
318160,셀바이오휴먼텍,8,3.5,97.5,C (보통),관망 ⭐,10000,3.41,"20일선 > 60일선 (상승 추세), RSI 54.4 (중립 구간), MACD 0선 위 (상승 추세)",8.32
136490,선진,7,5.0,95.0,B (우수),매수 고려 ⭐⭐,10390,-12.25,"RSI 46.6 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 급증 (3.2배) ⭐",11.44
329180,HD현대중공업,8,2.5,92.5,D (부진),매수 보류,538000,8.8,"20일선 > 60일선 (상승 추세), RSI 47.8 (중립 구간), MACD 0선 위 (상승 추세)",6.63
234690,녹십자웰빙,7,4.5,92.5,C (보통),관망 ⭐,9490,-6.23,"단기 정배열 (5>20), RSI 51.5 (중립 구간), MACD > Signal & 양전환 ⭐⭐",8.79
101490,에스앤에스텍,8,2.5,92.5,D (부진),매수 보류,56000,5.07,"20일선 > 60일선 (상승 추세), RSI 49.2 (중립 구간), MACD 0선 위 (상승 추세)",12.9
168360,펨트론,8,2.5,92.5,D (부진),매수 보류,19100,-10.12,"20일선 > 60일선 (상승 추세), RSI 46.5 (중립 구간), MACD 0선 위 (상승 추세)",2.93
381970,케이카,7,4.5,92.5,C (보통),관망 ⭐,15770,-0.88,"단기 정배열 (5>20), RSI 59.0 (중립 구간), MACD > Signal & 양전환 ⭐⭐",8.38
251970,펌텍코리아,7,4.5,92.5,C (보통),관망 ⭐,52000,-16.67,"RSI 37.3 (과매도 탈출), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (1.5배)",10.91
109070,주성코퍼레이션,8,2.0,90.0,D (부진),매수 보류,916,-10.11,"20일선 > 60일선 (상승 추세), RSI 37.5 (과매도 탈출)",12.57
204320,HL만도,7,4.0,90.0,C (보통),관망 ⭐,37150,5.39,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 54.6 (중립 구간)",2.42
119850,지엔씨에너지,7,4.0,90.0,C (보통),관망 ⭐,40500,29.6,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 56.4 (중립 구간)",16.78
353810,이지바이오,8,2.0,90.0,D (부진),매수 보류,5680,-4.38,"20일선 > 60일선 (상승 추세), RSI 43.4 (중립 구간)",7.7
376290,씨유테크,7,4.0,90.0,C (보통),관망 ⭐,3020,-5.62,"RSI 51.2 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (1.2배)",9.69
101140,인바이오젠,7,4.0,90.0,C (보통),관망 ⭐,12650,4.2,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 51.4 (중립 구간)",9.9
103230,에스앤더블류,8,2.0,90.0,D (부진),매수 보류,4325,-2.81,"20일선 > 60일선 (상승 추세), RSI 42.7 (중립 구간)",6.73
117580,대성에너지,7,4.0,90.0,C (보통),관망 ⭐,8300,1.72,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 52.5 (중립 구간)",2.17
230240,에치에프알,7,4.0,90.0,C (보통),관망 ⭐,16790,9.31,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 51.7 (중립 구간)",7.54
217190,제너셈,7,4.0,90.0,C (보통),관망 ⭐,9110,0.11,"20일선 > 60일선 (상승 추세), RSI 54.1 (중립 구간), 거래량 급증 (5.5배) ⭐",7.06
192820,코스맥스,8,2.0,90.0,D (부진),매수 보류,189500,-20.71,"RSI 32.9 (과매도 탈출), 거래량 증가 (1.6배)",5.07
302550,리메드,8,2.0,90.0,D (부진),매수 보류,3080,-14.92,"RSI 32.0 (과매도 탈출), 볼린저 하단 반등 ⭐",12.52
113810,디젠스,7,3.5,87.5,C (보통),관망 ⭐,879,14.3,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 50.7 (중립 구간)",7.54
107590,미원홀딩스,8,1.5,87.5,D (부진),매수 보류,67300,-7.81,"거래량 정상 (0.9배), 볼린저 하단 반등 ⭐",5.91
452450,피아이이,6,5.5,87.5,B (우수),매수 고려 ⭐⭐,8890,4.71,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 54.1 (중립 구간)",10.1
251270,넷마블,7,3.5,87.5,C (보통),관망 ⭐,54300,-16.46,"RSI 44.3 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (1.4배)",3.9
356890,싸이버원,7,3.5,87.5,C (보통),관망 ⭐,4205,-12.21,"20일선 > 60일선 (상승 추세), RSI 52.0 (중립 구간), MACD 0선 위 (상승 추세)",22.2
417790,트루엔,7,3.5,87.5,C (보통),관망 ⭐,8140,-7.81,"RSI 37.2 (과매도 탈출), MACD > Signal & 양전환 ⭐⭐, 거래량 정상 (1.4배)",13.65
123860,아나패스,8,1.0,85.0,D (부진),매수 보류,17210,-12.86,RSI 38.0 (과매도 탈출),16.07
114090,GKL,8,1.0,85.0,D (부진),매수 보류,14920,-14.55,RSI 39.0 (과매도 탈출),9.37
237820,플레이디,8,1.0,85.0,D (부진),매수 보류,4735,-11.66,RSI 40.4 (중립 구간),3.19
214420,토니모리,8,1.0,85.0,D (부진),매수 보류,8840,-16.92,RSI 38.4 (과매도 탈출),7.87
115570,스타플렉스,8,1.0,85.0,D (부진),매수 보류,2720,-7.95,RSI 40.2 (중립 구간),4.88
207940,삼성바이오로직스,7,3.0,85.0,C (보통),관망 ⭐,1221000,17.86,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), MACD 0선 위 (상승 추세)",8.64
263810,상신전자,7,2.5,82.5,D (부진),매수 보류,3195,6.32,"20일선 > 60일선 (상승 추세), RSI 47.5 (중립 구간), MACD 0선 위 (상승 추세)",2.78
259630,엠플러스,7,2.5,82.5,D (부진),매수 보류,14950,0.13,"20일선 > 60일선 (상승 추세), RSI 47.0 (중립 구간), MACD 0선 위 (상승 추세)",6.84
102710,이엔에프테크놀로지,7,2.0,80.0,D (부진),매수 보류,47650,-12.41,"20일선 > 60일선 (상승 추세), RSI 40.9 (중립 구간)",7.91
446540,메가터치,7,2.0,80.0,D (부진),매수 보류,3945,-4.36,"20일선 > 60일선 (상승 추세), RSI 45.3 (중립 구간)",7.68
111770,영원무역,7,2.0,80.0,D (부진),매수 보류,60400,-3.67,"RSI 51.5 (중립 구간), 거래량 정상 (0.9배), 볼린저 중심선 위",5.59
322310,오로스테크놀로지,7,2.0,80.0,D (부진),매수 보류,26150,-6.61,"20일선 > 60일선 (상승 추세), RSI 48.0 (중립 구간)",7.37
286940,롯데이노베이트,7,2.0,80.0,D (부진),매수 보류,20100,-7.8,"RSI 37.8 (과매도 탈출), 거래량 증가 (1.9배)",1.77
109080,옵티시스,7,2.0,80.0,D (부진),매수 보류,9090,-1.3,"단기 정배열 (5>20), RSI 48.1 (중립 구간), MACD 0선 위 (상승 추세)",7.81
178920,PI첨단소재,7,2.0,80.0,D (부진),매수 보류,17430,-2.9,"20일선 > 60일선 (상승 추세), RSI 45.3 (중립 구간)",4.44
136410,아셈스,7,1.5,77.5,D (부진),매수 보류,10530,-6.23,"RSI 48.9 (중립 구간), 볼린저 중심선 위",9.46
252500,세화피앤씨,7,1.0,75.0,D (부진),매수 보류,803,-9.78,RSI 39.3 (과매도 탈출),7.25
297090,씨에스베어링,7,1.0,75.0,D (부진),매수 보류,6500,-4.69,RSI 43.1 (중립 구간),5.8
171120,라이온켐텍,7,1.0,75.0,D (부진),매수 보류,2095,-5.2,RSI 39.9 (과매도 탈출),5.76
104460,디와이피엔에프,7,1.0,75.0,D (부진),매수 보류,13810,-9.38,RSI 41.6 (중립 구간),5.67
226320,잇츠한불,7,1.0,75.0,D (부진),매수 보류,11180,-11.27,RSI 36.7 (과매도 탈출),5.76
347000,센코,7,1.0,75.0,D (부진),매수 보류,2120,-12.58,RSI 37.0 (과매도 탈출),3.73
131180,딜리,7,1.0,75.0,D (부진),매수 보류,921,-6.02,RSI 40.9 (중립 구간),6.7
482630,삼양엔씨켐,6,3.0,75.0,C (보통),관망 ⭐,18100,-12.98,"20일선 > 60일선 (상승 추세), RSI 34.2 (과매도 탈출), 볼린저 하단 반등 ⭐",7.01
131760,파인텍,7,1.0,75.0,D (부진),매수 보류,830,-10.37,RSI 40.1 (중립 구간),3.38
303030,지니틱스,6,3.0,75.0,C (보통),관망 ⭐,778,-13.17,"RSI 35.6 (과매도 탈출), MACD > Signal & 양전환 ⭐⭐",2.54
462310,뉴키즈온,6,2.0,70.0,D (부진),매수 보류,6230,-11.76,"RSI 33.7 (과매도 탈출), 볼린저 하단 반등 ⭐",4.8
119830,아이텍,6,2.0,70.0,D (부진),매수 보류,5670,-11.68,"RSI 37.3 (과매도 탈출), 볼린저 하단 반등 ⭐",8.71
258610,케일럼,6,2.0,70.0,D (부진),매수 보류,1576,-12.64,"RSI 30.5 (과매도 탈출), 볼린저 하단 반등 ⭐",6.34
101680,한국정밀기계,6,2.0,70.0,D (부진),매수 보류,2135,-14.43,"RSI 32.0 (과매도 탈출), 볼린저 하단 반등 ⭐",2.07
