Code,Name,F-Score,Timing_Score,Combined_Score,Rating,Recommendation,Current_Price,Change_30D,Signals,ROA
307950,현대오토에버,8,6.5,112.5,B (우수),매수 고려 ⭐⭐,188800,14.77,"골든크로스 발생 (최근 5일 이내) ⭐, 이동평균 정배열 (5>20>60), RSI 57.5 (중립 구간)",5.71
139480,이마트,9,3.0,105.0,C (보통),관망 ⭐,72100,-6.85,"RSI 41.9 (중립 구간), MACD > Signal & 양전환 ⭐⭐",0.5
298040,효성중공업,8,5.0,105.0,B (우수),매수 고려 ⭐⭐,2188000,55.4,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), MACD > Signal & 양전환 ⭐⭐",7.14
198080,캐프,8,4.5,102.5,C (보통),관망 ⭐,2420,5.22,"단기 정배열 (5>20), MACD > Signal & 양전환 ⭐⭐, 거래량 급증 (2.1배) ⭐",8.6
322000,HD현대에너지솔루션,7,6.0,100.0,B (우수),매수 고려 ⭐⭐,57600,12.28,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 52.5 (중립 구간)",6.33
339770,교촌에프앤비,8,4.0,100.0,C (보통),관망 ⭐,4145,-8.9,"RSI 33.1 (과매도 탈출), MACD > Signal & 양전환 ⭐⭐, 볼린저 하단 반등 ⭐",7.07
195940,HK이노엔,7,6.0,100.0,B (우수),매수 고려 ⭐⭐,49450,3.78,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 53.7 (중립 구간)",3.26
229640,LS에코에너지,8,3.5,97.5,C (보통),관망 ⭐,40950,2.5,"20일선 > 60일선 (상승 추세), RSI 41.5 (중립 구간), MACD 0선 위 (상승 추세)",9.35
168360,펨트론,8,3.5,97.5,C (보통),관망 ⭐,19240,-12.15,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 47.2 (중립 구간)",2.93
119850,지엔씨에너지,7,5.5,97.5,B (우수),매수 고려 ⭐⭐,39650,31.07,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 54.7 (중립 구간)",16.78
254120,자비스,7,5.0,95.0,B (우수),매수 고려 ⭐⭐,1464,5.48,"골든크로스 발생 (최근 5일 이내) ⭐, RSI 57.0 (중립 구간), MACD 0선 위 (상승 추세)",3.05
103230,에스앤더블류,8,3.0,95.0,C (보통),관망 ⭐,4320,-4.0,"20일선 > 60일선 (상승 추세), RSI 42.5 (중립 구간), 볼린저 하단 반등 ⭐",6.73
329180,HD현대중공업,8,3.0,95.0,C (보통),관망 ⭐,521000,4.72,"20일선 > 60일선 (상승 추세), RSI 42.7 (중립 구간), MACD 0선 위 (상승 추세)",6.63
376290,씨유테크,7,5.0,95.0,B (우수),매수 고려 ⭐⭐,3040,-3.8,"RSI 53.4 (중립 구간), MACD > Signal & 양전환 ⭐⭐, 거래량 급증 (2.5배) ⭐",9.69
452450,피아이이,6,7.0,95.0,A (매우 우수),강력 매수 추천 ⭐⭐⭐,9130,2.58,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), RSI 57.4 (중립 구간)",10.1
318160,셀바이오휴먼텍,8,3.0,95.0,C (보통),관망 ⭐,9690,2.65,"20일선 > 60일선 (상승 추세), RSI 50.8 (중립 구간), MACD 0선 위 (상승 추세)",8.32
109080,옵티시스,7,4.5,92.5,C (보통),관망 ⭐,8920,-4.9,"단기 정배열 (5>20), RSI 44.5 (중립 구간), MACD > Signal & 양전환 ⭐⭐",7.81
230240,에치에프알,7,4.5,92.5,C (보통),관망 ⭐,15690,1.42,"골든크로스 발생 (최근 5일 이내) ⭐, 이동평균 정배열 (5>20>60), RSI 44.2 (중립 구간)",7.54
101490,에스앤에스텍,8,2.5,92.5,D (부진),매수 보류,55900,3.33,"20일선 > 60일선 (상승 추세), RSI 49.0 (중립 구간), MACD 0선 위 (상승 추세)",12.9
114090,GKL,8,2.5,92.5,D (부진),매수 보류,14610,-13.04,"RSI 33.8 (과매도 탈출), 거래량 정상 (1.0배), 볼린저 하단 반등 ⭐",9.37
207940,삼성바이오로직스,7,4.5,92.5,C (보통),관망 ⭐,1221000,19.01,"20일선 > 60일선 (상승 추세), 이동평균 정배열 (5>20>60), MACD > Signal & 양전환 ⭐⭐",8.64
